what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1271316283578
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1271316283578
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1271316283578
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1271316283578
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1271316283578
os,sysinfo,,,"win32",1271316283578
arch,sysinfo,,,"x86",1271316283578
ws,sysinfo,,,"win32",1271316283578
locale,sysinfo,,,"bg_BG",1271316283578
processors,sysinfo,,,"2",1271316283578
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271316283578
java.runtime.version,sysinfo,,,"1.6.0_02-b05",1271316283578
java.specification.name,sysinfo,,,"Java Platform API Specification",1271316283578
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271316283578
java.specification.version,sysinfo,,,"1.6",1271316283578
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271316283578
java.version,sysinfo,,,"1.6.0_02",1271316283578
java.vm.info,sysinfo,,,"mixed mode",1271316283578
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1271316283578
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271316283578
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271316283578
java.vm.specification.version,sysinfo,,,"1.0",1271316283578
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1271316283578
java.vm.version,sysinfo,,,"1.6.0_02-b05",1271316283578
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1271316284625
