what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1290516943484
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1290516943484
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1290516943484
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1290516943484
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1290516943484
os,sysinfo,,,"win32",1290516943484
arch,sysinfo,,,"x86",1290516943484
ws,sysinfo,,,"win32",1290516943484
locale,sysinfo,,,"bg_BG",1290516943484
processors,sysinfo,,,"2",1290516943484
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1290516943484
java.runtime.version,sysinfo,,,"1.6.0_02-b05",1290516943484
java.specification.name,sysinfo,,,"Java Platform API Specification",1290516943484
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290516943484
java.specification.version,sysinfo,,,"1.6",1290516943484
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1290516943484
java.version,sysinfo,,,"1.6.0_02",1290516943484
java.vm.info,sysinfo,,,"mixed mode",1290516943484
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1290516943484
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1290516943484
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290516943484
java.vm.specification.version,sysinfo,,,"1.0",1290516943484
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1290516943500
java.vm.version,sysinfo,,,"1.6.0_02-b05",1290516943500
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1290516947625
